Location,Delivery Charges,NCM Locations
4 NO JEETPUR,150.0,AARUGHAT
AANBU KHAIRENI TANAHU,150.0,AMARAI ARGHAKHANCHI
AMARGADHI,150.0,AMARDAHA
AMUWA,150.0,AMARGADHI
ARUNKHOLA,150.0,AMLEKHGUNJ
ATTARIYA,150.0,AMUWA
BAGLUNG,150.0,ANBUKHAIRENI
BANDIPUR TANAHUN,150.0,ARJUNCHAUPARI SYANGJA-
BANEPA,150.0,ARNAHA
BANIYANI JHAPA,150.0,ARUNKHOLA
BANSAGADHI,150.0,ARYA BHANJYANG
BARAHATHAWA SARLAHI,150.0,ATTARIYA
BARDAGHAT,150.0,AURABANI
BARDIBAS,150.0,AURAHI
BATTAR BAZAR,150.0,AURAHI DHANUSHA
BAUNIYA,150.0,AURAIYA
BELAURI,150.0,BADIGAD
BELBARI,150.0,BADNIHAR
BELDANDI KANCHANPUR,150.0,BAGLUNG BAZAR
BELTAR UDAYAPUR,150.0,BAGMARA
BENI,150.0,BAGTHALA
BESI SAHAR,150.0,BAHAURI PIDARI
BHADRAPUR,150.0,BAHRABISE
BHAIRAHAWA,150.0,BAHUNDANGI
BHAJANI,150.0,BAHUNI
BHAKUNDE BESI KAVRE,150.0,BAIDAULI
BHALUBANG,150.0,BAISJANGAR TANAHUN
BHANDARA CHITWAN,150.0,BALARA
BHARATPUR,150.0,BALAWA
BHIMAD TANAHU,150.0,BALETAXAR
BHIMAN SINDHULI,150.0,BAMKA BAJURA
BHOJPUR,150.0,BANDIPUR
BHURIGOAN,150.0,BANEPA
BIDUR,150.0,BANGALACHULI
BIRATCHOWK,150.0,BANI
BIRATNAGAR,150.0,BANIYANI
BIRGUNJ,150.0,BANKUL
BIRTAMOD,150.0,BANSBARI MORANG
BUDHABARE,150.0,BANSGADHI
BURTIBANG,150.0,BARAGADHI
BUTWAL,150.0,BARAHATHAWA
CHAINPUR BAJHANG,150.0,BARDAGHAT
CHAINPUR SANKHUWASABHA,150.0,BARDIBAS
CHAME MANANG,150.0,BARENG
CHANAULI,150.0,BARIYARPATTI
CHANDRANIGAHAPUR,150.0,BARIYARPUR
CHANDRAUTA,150.0,BARJU
CHAPAGAUN,150.0,BARPAK
CHARAALI,150.0,BASABASAHI
CHARIKOT,150.0,BASANTAPUR BAZAR
CHATARA,150.0,BASTIPUR
CHAUMALA,150.0,BASTIPUR MAKAWANPUR
CHAUTARA,150.0,BASUNDHARA
CHINCHU,150.0,BATESHWOR
CHISAPANI,150.0,BAUNIYA
CHORMARA,150.0,BAYALBAS
DAILEKH BAZAR,150.0,BAYARGHARI
DAKSHINKALI,150.0,BELA
DALDALE,150.0,BELAKA RAMPUR
DAMAK,150.0,BELATARI
DAMAN,150.0,BELAURI
DAMAULI,150.0,BELBARI
DARCHULA KHALANGA,150.0,BELDANGI
DHADING BESI,150.0,BELHI CHAPENA
DHAKDAI RUPANDEHI,150.0,BELSOT
DHALKEBAR,150.0,BELTAR BASAHA
DHANGADHI,150.0,BENI
DHANKUTA,150.0,BESISAHAR
DHARAN,150.0,BHADRAPUR
DHULABARI,150.0,BHAGWANPUR
DHULIKHEL,150.0,BHAIRAHAWA
DHUNCHE RASUWA,150.0,BHAJANI
DIKTEL KHOTANG,150.0,BHAKUNDEBESI
DINGLA BHOJPUR,150.0,BHALUWANG
DIPAYAL BAZAR,150.0,BHANDARA
DODHARA CHANDANI KANCHANPUR,150.0,BHANGAHA
DOLALGHAT KAVRE,150.0,BHAWANIPUR
DUDHAULI SINDHULI,150.0,BHEDETAR
DUHABI,150.0,BHIMAD
DULEGAUNDA TANAHU,150.0,BHIMAN
DULLU,150.0,BHIMPHEDI
DUMKIBAS,150.0,BHINGRI
DUMRE,150.0,BHISAWA SHIKTA
DUNAI DOLPA,150.0,BHOJPUR
FIKKAL,150.0,BHOKRAHA
GAIDAKOT,150.0,BHURANG TATOPANI
GAIGHAT,150.0,BHURIGAUN
GAJURI,150.0,BHURJUNG KHOLA
GALKOT,150.0,BIBLATE BAZAR
GAMGADHI MUGU,150.0,BIJUWAR
GARUDA,150.0,BINDABASINI
GAUR,150.0,BIRATCHOWK
GAURADAHA,150.0,BIRATNAGAR
GAURIGANJ,150.0,BIRBAS
GAUSHALA MAHOTTARI,150.0,BIRENDRA BAZAR
GHORAHI,150.0,BIRGUNJ
GODAWARI LALITPUR,150.0,BIRTAMOD
GOKULESHWOR DARCHULA,150.0,BIRUWA
GOLBAZAR,150.0,BISHNUPUR
GOPIGUNJ JAMUNIYA,150.0,BISHNUPUR SAPTARI
GORKHA BAZAR,150.0,BISHNUPUR SARLAHI
GORUSINGE,150.0,BISHRAMPUR
