Product,Price,Numbers,Confirmed,Godam,Last Stock,Purchased,GBL Return,Easy Return,DB Return,Store Sell,Final Stock
3d Glass,700.0,#REF!,0,,,,,,,,0
4 in 1 combo,700.0,#REF!,0,,,,,,,,0
4 in 1 Hair Remover,1000.0,#REF!,0,,,,,,,,0
7Horses 3D,1500.0,#REF!,0,,,,,,,,0
AC Design Fan Heater with remot,1000.0,#REF!,0,,,,,,,,0
Accupressure Slippers,850.0,#REF!,0,5.0,,,,,,,0
Anti Vibration Pad,1000.0,#REF!,0,,,,,,,,0
Body Sensor Light,5000.0,#REF!,0,,,,,,,,0
,1000.0,#REF!,0,,,,,,,,0
Dancing Cactus,1500.0,#REF!,0,,,,,,,,0
,1200.0,#REF!,0,,,,,,,,0
Foam Cleaner,1000.0,#REF!,0,,,,,,,,0
Hammer,1000.0,#REF!,0,,,,,,,,0
Luxurious Flexible Glass,1000.0,#REF!,0,,,,,,,,0
Magnetic Knee Warmer,1000.0,#REF!,0,,,,,,,,0
Mobile Charging Stand 3pcs,650.0,#REF!,0,,,,,,,,0
Momo Maker,5000.0,#REF!,0,,,,,,,,0
New Combo,1800.0,#REF!,0,,,,,,,,0
New Mixture,1500.0,#REF!,0,,,,,,,,0
Power Knee Strap,1000.0,#REF!,0,,,,,,,,0
Router Backup,1000.0,#REF!,0,,,,,,,,0
SG 3 Set,1500.0,#REF!,0,,,,,,,,0
Siren,1000.0,#REF!,0,,,,,,,,0
Smart Watch,2500.0,#REF!,0,,,,,,,,0
Tool Box,1000.0,#REF!,0,,,,,,,,0
Vaccum Blower,1800.0,#REF!,0,,,,,,,,0
Washing Machine Cover,700.0,#REF!,0,,,,,,,,0
Kids Laptop+Magnetic Slate,1100.0,#REF!,0,,,,,,,,0
6 in 1 Vegetable Cutting Basket,1200.0,#REF!,0,,,,,,,,0
Golden Rose,500.0,#REF!,0,,,,,,,,0
8 pcs Ball Transfer Unit,500.0,#REF!,0,,,,,,,,0
waterproof spray,1500.0,#REF!,0,,,,,,,,0
7Horse,1000.0,#REF!,0,,,,,,,,0
Foam Filling Spray,1500.0,#REF!,0,,,,,,,,0
Double Pole Stand,2000.0,#REF!,0,,,,,,,,0
locket,1500.0,#REF!,0,,,,,,,,0
Movable Base Stand,2000.0,#REF!,0,,,,,,,,0
Shoe Rack,2500.0,#REF!,0,,,,,,,,0
mosquito bulb,1000.0,#REF!,0,,,,,,,,0
24pcs cleaning tablets,1000.0,#REF!,0,,,,,,,,0
Gradient Sunglasses for Women,1500.0,#REF!,0,,,,,,,,0
Shiva Smoke Fountain,2500.0,#REF!,0,,,,,,,,0
manicure pedicure set,800.0,#REF!,0,,,,,,,,0
Magic Cleaning Brush,1500.0,#REF!,0,,,,,,,,0
mini ceiling fan,1200.0,#REF!,0,,,,,,,,0
Mens Straightener,1750.0,#REF!,0,,,,,,,,0
Catalytic Converter Cleaner,1200.0,#REF!,0,,,,,,,,0
Car Vaccum,2000.0,#REF!,0,,,,,,,,0
Folding Cloth Storage Box,1500.0,#REF!,0,,,,,,,,0
2pcs Folding Cloth Storage Box,1500.0,#REF!,0,,,,,,,,0
3pcs Folding Cloth Storage Box,1500.0,#REF!,0,,,,,,,,0
Waterproof Tile Gap Filler Agents,1200.0,#REF!,0,,,,,,,,0
Mosquito Killer Bat,1200.0,#REF!,0,,,,,,,,0
Baby Saftey Belt,1200.0,#REF!,0,,,,,,,,0
License Bill Book Wallet,900.0,#REF!,0,,,,,,,,0
4 pcs Kids Sank Book,1000.0,#REF!,0,,,,,,,,0
Foot Fresh Shoe Spray,800.0,#REF!,0,,,,,,,,0
2 pcs Kids 360° Tooth Brush,800.0,#REF!,0,,,,,,,,0
Body Shaper,1000.0,#REF!,0,,,,,,,,0
Anti Rust Spray,1200.0,#REF!,0,,,,,,,,0
Height insole,700.0,#REF!,0,,,,,,,,0
Kids 360° Tooth Brush,500.0,#REF!,0,,,,,,,,0
3 pcs Kids 360° Tooth Brush,950.0,#REF!,0,,,,,,,,0
magic mesh,999.0,#REF!,0,,,,,,,,0
Travel Bag,1400.0,#REF!,0,,,,,,,,0
2 in 1 straightener,1500.0,#REF!,0,,,,,,,,0
ANTI-FOG COATING SPRAY,1250.0,#REF!,0,,,,,,,,0
Night Vision + Day glass,999.0,#REF!,0,,,,,,,,0
Flawless Body Hair Remover,2000.0,#REF!,0,,,,,,,,0
Vintage Trimmer,1800.0,#REF!,0,,,,,,,,0
Gas Stand + Cover,1200.0,#REF!,0,,,,,,,,0
mini kitchen mill,1500.0,#REF!,0,,,,,,,,0
ANTI LEAKAGE AGENT,1250.0,#REF!,0,,,,,,,,0
waterproof mobile holder,1200.0,#REF!,0,,,,,,,,0
Mini Sealing Machine,850.0,#REF!,0,,,,,,,,
Water Absorbent Mat,1200.0,#REF!,0,,,,,,,,
Irrigation Pipe,,,,,,,,,,,
Sink Organizer,,,,,,,,,,,
Vegetable Cutter,,,,,,,,,,,
Body Trimmer,,,,,,,,,,,
3 in 1 stainless steel cutting basket,,,,,,,,,,,
tummy trimmer,800.0,,,,,,,,,,
Mummy's Bag,2800.0,,,,,,,,,,
Solar Rotating Air Freshner,,,,,,,,,,,
Electric BBQ,2000.0,,,,,,,,,,
Sank Book + 2 pcs Baby Brush,,,,,,,,,,,
5 पिस स्टिल डेक्ची सेट,,,,,,,,,,,
Steel Basin Kitchen Chopper,,,,,,,,,,,
Tiger Wrench,,,,,,,,,,,
Flawless Eyebrow Hair Remover,,,,,,,,,,,
Tika Thaali,,,,,,,,,,,
Mini Mix Cutter,,,,,,,,,,,
Sundar Lekhan Book,,,,,,,,,,,
Handy Vegetable Chopper,,,,,,,,,,,
mini trimmer,,,,,,,,,,,
heating tap Indian,,,,,,,,,,,
3 Rod Halogen Heater,,,,,,,,,,,
5 in 1 combo,,,,,,,,,,,
Electromax Ac Design Fan heater,,,,,,,,,,,
gloves combo,,,,,,,,,,,
washing machine combo,,,,,,,,,,,
Anti Stretch Mark Cream,,,,,,,,,,,
Spin Scrubber,,,,,,,,,,,
Warm Toilet Seat Cover 3 pcs,,,,,,,,,,,
Korean Night Cream,,,,,,,,,,,
Handy Heater,,,,,,,,,,,
Water Spray Gun,,,,,,,,,,,
Solar Helicopter Air Freshner,,,,,,,,,,,
360 rotating mop,,,,,,,,,,,
waterproof lipgloss,,,,,,,,,,,
Soap Roller 2 pcs,,,,,,,,,,,
Steam Iron,,,,,,,,,,,
Infrared चुलो,,,,,,,,,,,
